2024-08-20 15:03:24 UTC-7
-30acaaaa:19170784458:-7d26

pH Measure.1
Time [s],Measured value,dU/dt [mV/min],Temperature [°C]
0.0,4.5520172119140625,0.0,21.09947395324707
2.0,4.822460174560547,820.9902954101562,21.10967445373535
4.0,5.259097099304199,661.3719482421875,21.150480270385742
6.0,5.631821155548096,628.3798217773438,21.19161033630371
8.0,5.9833197593688965,563.0747680664062,21.243587493896484
10.0,6.297274112701416,482.25518798828125,21.288555145263672
12.0,6.566417694091797,429.1591796875,21.327787399291992
14.0,6.8025665283203125,367.9859313964844,21.362558364868164
16.0,7.002185821533203,314.0812072753906,21.394460678100586
18.0,7.175131797790527,263.8663635253906,21.423812866210938
20.0,7.321796894073486,222.496337890625,21.447742462158203
22.0,7.444485187530518,188.51531982421875,21.471994400024414
24.0,7.546830654144287,154.6280517578125,21.489864349365234
26.0,7.63163423538208,135.5960693359375,21.50933074951172
28.0,7.705883502960205,112.87268829345703,21.522096633911133
30.0,7.767671585083008,97.36029052734375,21.53709602355957
32.0,7.820731163024902,83.89598083496094,21.548906326293945
34.0,7.865578651428223,67.82852172851562,21.560077667236328
36.0,7.902266502380371,60.580116271972656,21.57061004638672
38.0,7.9342780113220215,49.03097152709961,21.576993942260742
40.0,7.961935520172119,41.68370819091797,21.584335327148438
42.0,7.984413146972656,35.71755599975586,21.591997146606445
44.0,8.003238677978516,30.46636390686035,21.59869956970215
46.0,8.020179748535156,26.250377655029297,21.60380744934082
48.0,8.034370422363281,21.801820755004883,21.609872817993164
50.0,8.046561241149902,19.32845115661621,21.6124267578125
52.0,8.056909561157227,15.716800689697266,21.6165771484375
54.0,8.066156387329102,14.12047290802002,21.622642517089844
56.0,8.073967933654785,12.09951400756836,21.62519645690918
58.0,8.08072566986084,10.065767288208008,21.628068923950195
60.0,8.086565971374512,8.698443412780762,21.63062286376953
62.0,8.091504096984863,7.135193347930908,21.63413429260254
64.0,8.095565795898438,6.5403571128845215,21.63445472717285
66.0,8.099374771118164,4.976267337799072,21.637008666992188
68.0,8.102442741394043,4.751462936401367,21.640838623046875
70.0,8.105168342590332,4.673548221588135,21.640838623046875
72.0,8.107587814331055,3.922881603240967,21.64339256286621
74.0,8.109850883483887,2.2318761348724365,21.644351959228516
76.0,8.11164665222168,2.67769455909729,21.644670486450195
78.0,8.113137245178223,2.8705413341522217,21.64722442626953
80.0,8.114593505859375,2.104325771331787,21.648181915283203
82.0,8.115736961364746,0.8171573877334595,21.648181915283203
84.0,8.116543769836426,1.8631361722946167,21.65073585510254
86.0,8.117212295532227,1.7026374340057373,21.652013778686523
88.0,8.118149757385254,1.5230016708374023,21.652332305908203
90.0,8.118910789489746,0.8879918456077576,21.653610229492188
92.0,8.119218826293945,1.0964268445968628,21.65584373474121
94.0,8.119839668273926,0.9256149530410767,21.653610229492188
96.0,8.120390892028809,0.8589843511581421,21.653610229492188


SET U 1.1
Time [s],Measured value [mV],Volume [mL],dV/dt [µL/min],Temperature [°C]
0.0,-66.91722869873047,0.0,0.0,21.65871810913086
2.0012998580932617,-66.86983489990234,0.047999996691942215,1739.6614990234375,21.657121658325195
4.001100063323975,-64.85102844238281,0.15699999034404755,3222.121826171875,21.656164169311523
6.001299858093262,-59.64762878417969,0.3240000009536743,4847.88330078125,21.65488624572754
8.001399993896484,-52.18434524536133,0.5400000214576721,6330.49853515625,21.65967559814453
10.001199722290039,-42.727760314941406,0.7989999651908875,7656.26904296875,21.65967559814453
12.001500129699707,-30.145885467529297,1.097000002861023,8816.87890625,21.65967559814453
14.000999450683594,10.936141967773438,1.4259998798370361,9813.63671875,21.65967559814453
16.000999450683594,101.72814178466797,1.679999828338623,9279.96484375,21.661272048950195
18.001300811767578,166.60549926757812,1.6820000410079956,6851.7119140625,21.65999412536621
20.00119972229004,197.88888549804688,1.6820000410079956,5921.6611328125,21.66350746154785
22.001300811767578,205.32838439941406,1.6820000410079956,5213.92236328125,21.664783477783203
24.001399993896484,206.17657470703125,1.6820000410079956,3701.106201171875,21.666061401367188
26.000999450683594,206.37322998046875,1.6820000410079956,493.2434997558594,21.66254997253418
28.000999450683594,206.44430541992188,1.6820000410079956,0.0,21.662229537963867
30.001298904418945,206.50827026367188,1.684000015258789,44.90409469604492,21.668615341186523
32.00129699707031,206.551513671875,1.688999891281128,119.2629165649414,21.665103912353516
34.00129699707031,206.66700744628906,1.690999984741211,99.53390502929688,21.640520095825195
36.00149917602539,206.81626892089844,1.6949998140335083,104.0561294555664,21.664783477783203
38.001197814941406,207.0887451171875,1.7020000219345093,139.74655151367188,21.666379928588867
40.0010986328125,207.6697998046875,1.712999939918518,246.51455688476562,21.66765785217285
42.001197814941406,208.39657592773438,1.7309999465942383,648.5344848632812,21.66765785217285
44.00129699707031,209.8968963623047,1.7579998970031738,824.0858154296875,21.668615341186523
46.00129699707031,210.96307373046875,1.777999758720398,664.8392333984375,21.668615341186523
48.00149917602539,212.16842651367188,1.8029998540878296,697.6173706054688,21.67116928100586
50.001197814941406,213.43360900878906,1.8269999027252197,732.5972900390625,21.67116928100586
52.00089645385742,214.3961181640625,1.8499999046325684,689.5211181640625,21.672447204589844
54.00129699707031,215.3740234375,1.8719998598098755,657.9672241210938,21.668615341186523
56.001197814941406,216.43307495117188,1.8930000066757202,639.17919921875,21.671489715576172
58.001197814941406,217.17465209960938,1.9129998683929443,606.7252197265625,21.671489715576172
60.00149917602539,218.1134796142578,1.933000087738037,599.9998779296875,21.67116928100586
62.001399993896484,218.7223663330078,1.9519999027252197,568.9130249023438,21.671489715576172
64.00090026855469,219.4799346923828,1.96999990940094,568.5816040039062,21.671489715576172
66.00120544433594,220.09890747070312,1.9889999628067017,548.2899780273438,21.671489715576172
68.00129699707031,220.7332763671875,2.006999969482422,538.5297241210938,21.672447204589844
70.0010986328125,221.2781982421875,2.0239999294281006,527.6272583007812,21.671489715576172
72.00150299072266,221.93447875976562,2.0409998893737793,518.8306274414062,21.67116928100586
